fileId,title,artist,producer,gn,mode,bpm,offsetMs,src,lvEasy,lvNormal,lvHard,notesEasy,notesNormal,notesHard,durEasy,durNormal,durHard,measEasy,measNormal,measHard,chartBpm,titleZhCn,artistZhCn,titleEn,artistEn,origName,enc,seed,seed1,seed2,innerOff,size
10010,不要忘了我,潘瑋柏,WolF.R,sdom0010k.gn,K,95,-35,kgn,1,3,7,117,376,550,154,154,154,225,283,289,95,不要忘了我,潘玮柏,,,sdom0010K.gm,rewu,7751303,,,,57684
10,不要忘了我,潘瑋柏,WolF.R,sdom0010t.gn,T,95,-35,kgn,1,3,4,116,356,434,154,154,154,224,443,450,95,不要忘了我,潘玮柏,,,sdom0010T.gm,rewu,9223621,,,,80724
10011,Funky Music,james browen,van,sdom0011k.gn,K,108,-30,kgn,3,4,5,330,428,519,131,131,131,346,365,376,108,Funky Music,james browen,Funky Music,james browen,sdom0011K.gm,rewu,8967522,,,,82375
11,Funky Music,james browen,van,sdom0011t.gn,T,108,-30,kgn,1,2,3,263,313,382,131,131,131,351,363,378,108,Funky Music,james browen,Funky Music,james browen,sdom0011T.gm,rewu,13403338,,,,82819
10015,it’s  raining,RAIN,van,sdom0015k.gn,K,104,-20,kgn,2,4,5,236,357,501,133,133,133,451,474,451,104,it’s  raining,RAIN,,RAIN,sdom0015K.gm,rewu,4675663,,,,105492
15,it’s  raining,RAIN,van,sdom0015t.gn,T,104,-20,kgn,1,2,4,156,234,357,133,133,133,460,488,514,104,it’s  raining,RAIN,,RAIN,sdom0015T.gm,rewu,12571193,,,,105708
10016,BooM BooM Dollar,DDR,S.Q.H,sdom0016k.gn,K,135,-40,kgn,2,4,4,153,213,256,83,83,83,322,338,351,135,BooM BooM Dollar,DDR,BooM BooM Dollar,DDR,sdom0016K.gm,rewu,13176189,,,,67212
16,BooM BooM Dollar,DDR,S.Q.H,sdom0016t.gn,T,135,-40,kgn,1,2,3,138,146,206,83,83,83,318,321,338,135,BooM BooM Dollar,DDR,BooM BooM Dollar,DDR,sdom0016T.gm,rewu,14231298,,,,67164
10020,希望找到,劉承俊,TONY.C,sdom0020k.gn,K,118,-29,kgn,3,3,7,230,299,391,105,105,105,168,174,183,118,希望找到,刘承俊,,,sdom0023K.gm,rewu,5277227,,,,33060
20,希望找到,劉承俊,TONY.C,sdom0020t.gn,T,118,-29,kgn,1,1,3,95,164,230,105,105,105,97,146,168,118,希望找到,刘承俊,,,sdom0023T.gm,rewu,11795152,,,,29568
10022,不朽的太陽,張佑赫,WolF.R,sdom0022k.gn,K,106,-20,kgn,1,5,5,139,430,470,138,138,138,126,215,221,106,不朽的太阳,张佑赫,,,sdom0022K.gm,rewu,5771106,,,,38856
22,不朽的太陽,張佑赫,WolF.R,sdom0022t.gn,T,106,-20,kgn,1,3,5,139,319,430,138,138,138,126,192,215,106,不朽的太阳,张佑赫,,,sdom0022T.gm,rewu,9407001,,,,44892
10025,永遠喜歡,劉承俊,TONY.C,sdom0025k.gn,K,100,-30,kgn,3,4,8,351,420,543,132,132,132,187,201,212,100,永远喜欢,刘承俊,,,sdom0025K.gm,rewu,11049386,,,,45540
25,永遠喜歡,劉承俊,TONY.C,sdom0025t.gn,T,100,-30,kgn,1,1,3,148,233,351,132,132,132,112,161,187,100,永远喜欢,刘承俊,,,sdom0025T.gm,rewu,16699610,,,,40512
10026,使者,N.R.G,S.Q.H,sdom0026k.gn,K,127,-20,kgn,5,8,9,279,399,501,100,100,100,168,199,210,127,使者,N.R.G,,N.R.G,sdom0026K.gm,sdom,9522622,,,456,36800
26,使者,N.R.G,S.Q.H,sdom0026t.gn,T,127,-20,kgn,3,4,5,229,275,338,100,100,100,151,162,181,127,使者,N.R.G,,N.R.G,sdom0026T.gm,sdom,1140331,,,456,34900
10027,夜曲,周杰倫,暗黑狂狼,sdom0027k.gn,K,174,-55,songname,1,6,6,221,459,533,137,137,137,173,342,365,174,夜曲,周杰伦,,,sdom0027K.gm,rewu,14701905,,,,67704
27,夜曲,周杰倫,暗黑狂狼,sdom0027t.gn,T,174,-55,songname,1,4,5,212,347,451,137,137,137,166,289,338,174,夜曲,周杰伦,,,sdom0027T.gm,rewu,10637584,,,,57860
10028,幸福,H.O.T,VAN,sdom0028k.gn,K,133,0,kgn,2,5,5,234,415,466,110,110,110,216,237,243,133,幸福,H.O.T,,H.O.T,sdom0028K.gm,rewu,2513999,,,,43752
28,幸福,H.O.T,VAN,sdom0028t.gn,T,133,0,kgn,1,2,4,135,220,368,110,110,110,158,205,222,133,幸福,H.O.T,,H.O.T,sdom0028T.gm,rewu,6134887,,,,36240
10029,Girls on top,寶兒,TONY.Z,sdom0029k.gn,K,110,-30,kgn,4,5,7,410,465,571,146,146,146,222,243,256,110,Girls on top,宝儿,Girls on top,,sdom0029K.gm,rewu,10989279,,,,63336
29,Girls on top,寶兒,TONY.Z,sdom0029t.gn,T,110,-30,kgn,1,3,4,267,327,410,146,146,146,195,203,222,110,Girls on top,宝儿,Girls on top,,sdom0029T.gm,rewu,4315366,,,,54968
10030,Bye Bye Bye,超級男孩,S.Q.H,sdom0030k.gn,K,86.3,-10,kgn,1,2,6,218,259,499,147,147,147,139,157,205,86.3,Bye Bye Bye,超级男孩,Bye Bye Bye,,sdom0030K.gm,rewu,3357660,,,,34548
30,Bye Bye Bye,超級男孩,S.Q.H,sdom0030t.gn,T,86.3,-10,kgn,1,2,3,218,245,325,147,147,147,140,151,171,86.3,Bye Bye Bye,超级男孩,Bye Bye Bye,,sdom0030T.gm,rewu,4592430,,,,34548
10031,BUMP FIX,M,TONY.C,sdom0031k.gn,K,109,-25,kgn,3,4,6,307,348,422,116,116,116,188,197,205,109,BUMP FIX,M,BUMP FIX,M,sdom0031K.gm,rewu,6694286,,,,42084
31,BUMP FIX,M,TONY.C,sdom0031t.gn,T,109,-25,kgn,1,3,3,227,277,307,116,116,116,167,184,188,109,BUMP FIX,M,BUMP FIX,M,sdom0031T.gm,rewu,12306824,,,,39120
10034,解釋男女,EZ2DANCER,TONY.Z,sdom0034k.gn,K,86.03,-36,kgn,4,5,7,350,431,478,108,108,108,149,159,160,86.03,解释男女,EZ2DANCER,,EZ2DANCER,sdom0034K.gm,rewu,773710,,,,31476
34,解釋男女,EZ2DANCER,TONY.Z,sdom0034t.gn,T,86.03,-36,kgn,2,3,4,199,303,350,108,108,108,128,142,149,86.03,解释男女,EZ2DANCER,,EZ2DANCER,sdom0034T.gm,rewu,7532555,,,,28848
10036,神話,5566,S.Q.H,sdom0036k.gn,K,106,-25,kgn,3,3,5,311,353,487,144,144,144,198,212,237,106,神话,5566,,5566,sdom0036K.gm,rewu,1829420,,,,47772
36,神話,5566,S.Q.H,sdom0036t.gn,T,106,-25,kgn,2,3,4,303,342,392,144,144,144,196,207,220,106,神话,5566,,5566,sdom0036T.gm,rewu,14517935,,,,47772
10039,I NEED YOU,麻吉弟弟,TONY.C,sdom0039k.gn,K,160.01,-20,kgn,4,6,8,314,389,469,115,115,115,226,258,272,160.01,I NEED YOU,麻吉弟弟,I NEED YOU,,sdom0039K.gm,sdom,11096582,,,456,57016
39,I NEED YOU,麻吉弟弟,TONY.C,sdom0039t.gn,T,160.01,-20,kgn,2,2,4,191,248,314,115,115,115,181,211,226,160.01,I NEED YOU,麻吉弟弟,I NEED YOU,,sdom0039T.gm,sdom,6253689,,,456,45420
10040,Super Dancer,9you,WolF.R,sdom0040k.gn,K,137.7,-30,kgn,1,4,5,141,318,357,129,129,129,120,186,201,137.7,Super Dancer,9you,Super Dancer,9you,sdom0040K.gm,rewu,15860471,,,,27264
40,Super Dancer,9you,WolF.R,sdom0040t.gn,T,137.7,-30,kgn,1,3,4,141,268,318,129,129,129,120,173,186,137.7,Super Dancer,9you,Super Dancer,9you,sdom0040T.gm,rewu,4717781,,,,25368
10041,心中的HIP-HOP,新舞器,VAN,sdom0041k.gn,K,100,-25,kgn,1,3,5,209,388,463,124,124,124,186,216,217,100,心中的HIP-HOP,新舞器,,,sdom0041K.gm,rewu,14909828,,,,40292
41,心中的HIP-HOP,新舞器,VAN,sdom0041t.gn,T,100,-25,kgn,1,1,3,99,195,372,124,124,124,122,182,214,100,心中的HIP-HOP,新舞器,,,sdom0041T.gm,rewu,10786786,,,,32376
10042,One Love,平井堅,小狼,sdom0042k.gn,K,121,-16,kgn,1,5,5,198,494,554,158,158,158,140,269,280,121,One Love,平井坚,One Love,,sdom0042K.gm,rewu,10576520,,,,44388
42,One Love,平井堅,小狼,sdom0042t.gn,T,121,-16,kgn,1,3,5,198,397,494,158,158,158,140,245,269,121,One Love,平井坚,One Love,,sdom0042T.gm,rewu,5482296,,,,41628
10043,I Say Yeah,vilin,TONY.Z,sdom0043k.gn,K,137.01,-30,kgn,4,8,12,419,599,784,119,119,119,238,272,280,137.01,I Say Yeah,vilin,I Say Yeah,vilin,sdom0043K.gm,sdom,11373467,,,456,63240
43,I Say Yeah,vilin,TONY.Z,sdom0043t.gn,T,137.01,-30,kgn,2,3,4,284,364,417,119,119,119,209,226,237,137.01,I Say Yeah,vilin,I Say Yeah,vilin,sdom0043T.gm,sdom,6742702,,,456,57276
10044,Break Down!,Be For U,小狼,sdom0044k.gn,K,190,-45,kgn,2,5,8,215,363,582,104,104,104,166,240,294,190,Break Down!,Be For U,Break Down!,Be For U,sdom0044K.gm,rewu,7678725,,,,44220
44,Break Down!,Be For U,小狼,sdom0044t.gn,T,190,-45,kgn,2,5,6,215,363,479,104,104,104,166,240,283,190,BREAK DOWN!,Be For U,BREAK DOWN!,Be For U,sdom0044T.gm,rewu,13604717,,,,43488
10045,the magic key,One-T&Cool-T,TONY.Z,sdom0045k.gn,K,102,-36,kgn,4,5,7,465,534,591,148,148,148,248,255,257,102,the magic key,One-T&Cool-T,the magic key,One-T&Cool-T,sdom0045K.gm,rewu,9204615,,,,50940
45,the magic key,One-T&Cool-T,TONY.Z,sdom0045t.gn,T,102,-36,kgn,2,3,4,323,419,453,148,148,148,234,245,247,102,the magic key,One-T&Cool-T,the magic key,One-T&Cool-T,sdom0045T.gm,rewu,4273513,,,,48372
10046,God is a girl,9you,WolF.R,sdom0046k.gn,K,142,-35,kgn,1,3,5,127,250,333,108,108,108,108,137,166,142,God is a girl,9you,God is a girl,9you,sdom0046K.gm,rewu,855752,,,,24384
46,God is a girl,9you,WolF.R,sdom0046t.gn,T,142,-35,kgn,1,3,4,127,250,298,108,108,108,108,137,146,142,God is a girl,9you,God is a girl,9you,sdom0046T.gm,rewu,6966433,,,,24168
10047,成人禮,朴志胤,VAN,sdom0047k.gn,K,99.05,-25,kgn,1,4,5,255,455,535,150,150,150,226,254,259,99.05,成人礼,朴志胤,,,sdom0047K.gm,sdom,15028578,,,456,48024
47,成人禮,朴志胤,VAN,sdom0047t.gn,T,99.05,-25,kgn,1,1,3,115,247,446,150,150,150,145,226,253,99.05,成人礼,朴志胤,,,sdom0047T.gm,sdom,13075527,,,456,41352
10048,第五街的誘惑,李玖哲,TONY.C,sdom0048k.gn,K,116,-20,songname,2,4,7,325,481,545,148,148,148,223,254,262,116,第五街的诱惑,李玖哲,,,sdom0048K.gm,rewu,16386328,,,,48948
48,第五街的誘惑,李玖哲,TONY.C,sdom0048t.gn,T,116,-20,songname,2,2,4,248,325,467,148,148,148,195,223,249,116,第五街的诱惑,李玖哲,,,sdom0048T.gm,rewu,8950834,,,,47436
10049,Pierrot,P I U,S.Q.H,sdom0049k.gn,K,101,-120,kgn,3,3,4,218,218,265,87,87,87,120,119,132,101,Pierrot,P I U,Pierrot,P I U,sdom0049K.gm,rewu,15011304,,,,25332
49,Pierrot,P I U,S.Q.H,sdom0049t.gn,T,101,-120,kgn,3,3,3,223,226,226,87,87,87,119,122,122,101,Pierrot,P I U,Pierrot,P I U,sdom0049T.gm,rewu,10308626,,,,24816
10050,Amazing Kiss,寶兒,TONY.Z,sdom0050k.gn,K,100.2,0,kgn,4,5,6,416,471,538,141,141,141,210,219,223,100.2,Amazing Kiss,宝儿,Amazing Kiss,,sdom0050K.gm,rewu,13417363,,,,46044
50,Amazing Kiss,寶兒,TONY.Z,sdom0050t.gn,T,100.2,0,kgn,2,3,4,269,353,415,141,141,141,211,218,225,100.2,Amazing Kiss,宝儿,Amazing Kiss,,sdom0050T.gm,rewu,13747797,,,,47388
10051,HEY DUDE,神話,TONY.C,sdom0051k.gn,K,98,-36,kgn,5,5,6,489,539,594,159,159,159,222,245,254,98,HEY DUDE,神话,HEY DUDE,,sdom0051K.gm,rewu,2935808,,,,52896
51,HEY DUDE,神話,TONY.C,sdom0051t.gn,T,98,-36,kgn,1,3,5,247,385,489,159,159,159,180,194,222,98,HEY DUDE,神话,HEY DUDE,,sdom0051T.gm,rewu,1523048,,,,48624
10053,搞怪蛙,Crazy frog,TONY.C,sdom0053k.gn,K,138,-31,kgn,4,6,7,399,494,611,130,130,130,233,261,293,138,搞怪蛙,Crazy frog,,Crazy frog,sdom0053K.gm,rewu,8332380,,,,58740
53,搞怪蛙,Crazy frog,TONY.C,sdom0053t.gn,T,138,-31,kgn,3,4,6,294,382,480,130,130,130,172,216,247,138,搞怪蛙,Crazy frog,,Crazy frog,sdom0053T.gm,rewu,13335298,,,,53580
10054,我想靠近你,孫燕姿,TONY.Z,sdom0054k.gn,K,92,-27,kgn,3,5,6,335,439,521,140,140,140,186,216,217,92,我想靠近你,孙燕姿,,,sdom0054K.gm,rewu,4382750,,,,43740
54,我想靠近你,孫燕姿,TONY.Z,sdom0054t.gn,T,92,-27,kgn,1,2,3,165,265,335,140,140,140,136,173,186,92,我想靠近你,孙燕姿,,,sdom0054T.gm,rewu,15406994,,,,38940
10055,姐妹,張惠妹,Tu D,sdom0055k.gn,K,101,10,songname,2,3,3,247,286,385,135,135,135,174,182,211,101,姐妹,张惠妹,,,sdom0055K.gm,rewu,16471820,,,,40944
55,姐妹,張惠妹,Tu D,sdom0055t.gn,T,101,10,songname,2,3,3,243,284,360,135,135,135,173,182,205,101,姐妹,张惠妹,,,sdom0055T.gm,rewu,12057453,,,,40944
10056,嘻唰唰,花兒樂隊,VAN,sdom0056k.gn,K,143,-25,kgn,3,4,5,382,461,597,154,154,154,329,349,371,143,嘻唰唰,花儿乐队,,,sdom0056K.gm,rewu,11815907,,,,64320
56,嘻唰唰,花兒樂隊,VAN,sdom0056t.gn,T,143,-25,kgn,1,2,3,182,345,426,154,154,154,224,308,331,143,嘻唰唰,花儿乐队,,,sdom0056T.gm,rewu,5936985,,,,59688
10057,鈴兒響叮噹,chrildren,TONY.C,sdom0057k.gn,K,97,-30,kgn,2,4,4,219,295,327,86,86,86,117,128,138,97,铃儿响叮当,chrildren,,chrildren,sdom0057K.gm,rewu,10486374,,,,25236
57,鈴兒響叮噹,chrildren,TONY.C,sdom0057t.gn,T,97,-30,kgn,1,1,2,67,115,201,86,86,86,72,91,112,97,铃儿响叮当,chrildren,,chrildren,sdom0057T.gm,rewu,5409858,,,,21216
10058,聖誕歌,韓國群星,S.Q.H,sdom0058k.gn,K,123,40,kgn,3,4,4,273,328,375,120,120,120,173,187,209,123,圣诞歌,韩国群星,,,sdom0058K.gm,rewu,2925639,,,,32388
58,聖誕歌,韓國群星,S.Q.H,sdom0058t.gn,T,123,40,kgn,3,3,4,266,310,343,120,120,120,170,179,201,123,圣诞歌,韩国群星,,,sdom0058T.gm,rewu,15482029,,,,32388
10060,Far away from home,舞動精靈,TONY.Z,sdom0060k.gn,K,90.9,-30,kgn,3,4,5,245,319,384,105,105,105,142,148,153,90.9,Far away from home,舞动精灵,Far away from home,,sdom0060K.gm,rewu,12292144,,,,29976
60,Far away from home,舞動精靈,TONY.Z,sdom0060t.gn,T,90.9,-30,kgn,1,2,3,163,197,239,105,105,105,133,139,139,90.9,Far away from home,舞动精灵,Far away from home,,sdom0060T.gm,rewu,6165137,,,,27372
10061,she,舞動精靈,van,sdom0061k.gn,K,102,-34,kgn,1,4,5,275,480,533,176,176,176,261,304,310,102,she,舞动精灵,she,,sdom0061K.gm,rewu,4992087,,,,55680
61,she,舞動精靈,van,sdom0061t.gn,T,102,-34,kgn,1,1,3,143,265,427,176,176,176,175,258,294,102,she,舞动精灵,she,,sdom0061T.gm,rewu,8041971,,,,50844
10062,PARANOiA(180),DDR,S.Q.H,sdom0062k.gn,K,180,-40,kgn,4,5,6,310,369,433,102,102,102,222,241,256,180,PARANOiA(180),DDR,PARANOiA(180),DDR,sdom0062K.gm,rewu,10888759,,,,32236
62,PARANOiA(180),DDR,9you,sdom0062t.gn,T,180,-40,kgn,4,4,4,321,325,342,102,102,102,232,230,250,180,PARANOiA(180),DDR,PARANOiA(180),DDR,sdom0062T.gm,rewu,8476199,,,,30716
10063,DUB I DUB,sdo,9you,sdom0063k.gn,K,136.01,-20,kgn,4,5,6,290,304,403,82,82,82,156,156,164,136.01,DUB I DUB,sdo,DUB I DUB,sdo,sdom0063K.gm,sdom,10672902,,,456,32448
63,DUB I DUB,sdo,9you,sdom0063t.gn,T,136.01,-20,kgn,2,3,4,167,230,268,82,82,82,118,134,154,136.01,DUB I DUB,sdo,DUB I DUB,sdo,sdom0063T.gm,sdom,7595910,,,456,25908
10064,pump it up,danzel,TONY.Z,sdom0064k.gn,K,129,-27,kgn,3,4,5,267,303,382,93,93,93,176,187,196,129,pump it up,danzel,pump it up,danzel,sdom0064K.gm,rewu,6639481,,,,36528
64,pump it up,danzel,TONY.Z,sdom0064t.gn,T,129,-27,kgn,2,1,3,226,176,263,93,93,93,165,150,174,129,pump it up,danzel,pump it up,danzel,sdom0064T.gm,rewu,5027674,,,,32340
10065,KITCHUP,SDO,TONY.C,sdom0065k.gn,K,92.5,-18,kgn,3,5,6,365,455,490,142,142,142,200,206,207,92.5,KITCHUP,SDO,KITCHUP,SDO,sdom0065K.gm,rewu,9984874,,,,41556
65,KITCHUP,SDO,TONY.C,sdom0065t.gn,T,92.5,-18,kgn,1,2,3,194,292,356,142,142,142,159,181,195,92.5,KITCHUP,SDO,KITCHUP,SDO,sdom0065T.gm,rewu,4163189,,,,39144
10066,大舌頭,吳克群,TONY.C,sdom0066k.gn,K,100,-29,songname,3,4,5,308,361,397,119,119,118,177,184,188,100,大舌头,吴克群,,,sdom0066K.gm,rewu,16052177,,,,42564
66,大舌頭,吳克群,TONY.C,sdom0066t.gn,T,100,-29,songname,1,2,3,109,210,279,120,120,119,114,154,172,100,大舌头,吴克群,,,sdom0066T.gm,rewu,11027275,,,,33248
10067,Summer of Love,SDO,TONY.Z&Candy,sdom0067k.gn,K,125.01,15,kgn,3,3,4,256,290,330,94,94,94,172,192,204,125.01,Summer of Love,SDO,Summer of Love,SDO,sdom0067K.gm,rewu,12261782,,,,45000
67,Summer of Love,SDO,TONY.Z&Candy,sdom0067t.gn,T,125.01,15,kgn,1,2,3,109,207,244,94,94,94,118,160,168,125.01,Summer of Love,SDO,Summer of Love,SDO,sdom0067T.gm,rewu,14377311,,,,34868
10068,hiphop horry,DJ Tommy,TONY C,sdom0068k.gn,K,99.2,-55,kgn,1,3,4,136,189,269,87,87,87,112,118,130,99.2,hiphop horry,DJ Tommy,hiphop horry,DJ Tommy,sdom0068K.gm,rewu,16373217,,,,20512
68,hiphop horry,DJ Tommy,TONY C,sdom0068t.gn,T,99.2,-55,kgn,1,3,3,102,173,226,87,87,87,87,113,124,99.2,hiphop horry,DJ Tommy,hiphop horry,DJ Tommy,sdom0068T.gm,rewu,3797325,,,,19660
10069,We'll Rock You,SDO,TONY.C,sdom0069k.gn,K,81,-25,kgn,3,3,4,353,397,433,153,153,153,206,213,222,81,We'll Rock You,SDO,We'll Rock You,SDO,sdom0069K.gm,rewu,5483023,,,,54324
69,We'll Rock You,SDO,TONY.C,sdom0069t.gn,T,81,-25,kgn,1,3,3,199,346,358,154,153,153,167,201,203,81,We'll Rock You,SDO,We'll Rock You,SDO,sdom0069T.gm,rewu,5843064,,,,51972
10070,Chi Hua Hua,SDO,TONY.C,sdom0070k.gn,K,90,-15,kgn,2,3,4,266,292,384,133,133,133,174,181,192,90,Chi Hua Hua,SDO,Chi Hua Hua,SDO,sdom0070K.gm,rewu,774425,,,,33144
70,Chi Hua Hua,SDO,TONY.C,sdom0070t.gn,T,90,-15,kgn,1,1,2,160,177,260,133,133,133,151,158,169,90,Chi Hua Hua,SDO,Chi Hua Hua,SDO,sdom0070T.gm,rewu,2232876,,,,29256
10071,get the party,Pink,van,sdom0071k.gn,K,128.9,-30,official,1,4,5,226,304,394,126,126,126,221,244,268,128.9,get the party,Pink,get the party,Pink,sdom0071K.gm,sdom,3018088,,,456,46212
71,get the party,Pink,van,sdom0071t.gn,T,128.9,-30,official,1,1,4,116,226,298,126,126,126,151,221,241,128.9,get the party,Pink,get the party,Pink,sdom0071T.gm,sdom,9753263,,,456,43812
10072,zips,T.M.Revolution,van,sdom0072k.gn,K,155,-25,kgn,2,5,7,325,477,553,145,145,145,307,344,361,155,zips,T.M.Revolution,zips,T.M.Revolution,sdom0072K.gm,rewu,3234680,,,,66444
72,zips,T.M.Revolution,van,sdom0072t.gn,T,155,-25,kgn,1,2,5,175,325,472,145,145,145,215,307,340,155,zips,T.M.Revolution,zips,T.M.Revolution,sdom0072T.gm,rewu,11172730,,,,65376
10073,永久指標,エイジアエンジニア,TONY.Z,sdom0073k.gn,K,85,-20,kgn,3,4,6,362,383,538,141,141,141,181,183,187,85,永久指针,エイジアエンジニア,,,sdom0073K.gm,sdom,9543791,,,456,37548
73,永久指標,エイジアエンジニア,TONY.Z,sdom0073t.gn,T,85,-20,kgn,1,2,3,184,280,351,141,141,141,167,176,179,85,永久指针,エイジアエンジニア,,,sdom0073T.gm,sdom,16547178,,,456,36312
10074,venus,孫燕姿,S.Q.H,sdom0074k.gn,K,126,-20,kgn,3,5,6,244,347,384,114,106,114,167,196,193,126,venus,孙燕姿,venus,,sdom0074K.gm,rewu,14346925,,,,38772
74,venus,孫燕姿,S.Q.H,sdom0074t.gn,T,126,-20,kgn,3,4,5,221,283,306,105,106,106,165,174,182,126,venus,孙燕姿,venus,,sdom0074T.gm,rewu,6355700,,,,36804
10075,嗆司嗆司,羅志祥,TONY.C,sdom0075k.gn,K,131,-20,kgn,4,5,6,484,545,592,139,139,139,268,275,279,131,呛司呛司,罗志祥,,,sdom0075K.gm,rewu,7365741,,,,55224
75,嗆司嗆司,羅志祥,TONY.C,sdom0075t.gn,T,131,-20,kgn,1,1,4,193,244,335,139,139,139,185,215,220,131,呛司呛司,罗志祥,,,sdom0075T.gm,rewu,31202,,,,42300
10076,I never told you,陳冠希,TONY.C,sdom0076k.gn,K,90,-25,songname,1,4,5,195,308,343,114,114,114,130,139,141,90,I never told you,陈冠希,I never told you,,sdom0076K.gm,rewu,4213389,,,,28340
76,I never told you,陳冠希,TONY.C,sdom0076t.gn,T,90,-25,songname,1,1,3,93,165,231,114,114,114,100,124,130,90,I never told you,陈冠希,I never told you,,sdom0076T.gm,rewu,14887478,,,,26040
10077,I could be the one,9you,S.Q.H,sdom0077k.gn,K,133,-100,kgn,3,4,5,313,371,391,113,116,116,203,218,222,133,I could be the one,9you,I could be the one,9you,sdom0077K.gm,rewu,984209,,,,42480
77,I could be the one,9you,S.Q.H,sdom0077t.gn,T,133,-100,kgn,2,3,3,240,289,313,113,113,113,174,195,203,133,I could be the one,9you,I could be the one,9you,sdom0077T.gm,rewu,3643991,,,,39432
10078,Keep Sweatin',Ray J ft. Fat Joe,T.Z.WANG,sdom0078k.gn,K,106,0,kgn,4,5,5,498,544,622,174,174,174,283,288,294,106,keep sweatin,ray j feat,keep sweatin,ray j feat,sdom0083K.gm,rewu,1337742,,,,58620
