gn,fileId,source,title,missing,no_preview,no_dance,no_icon
sdom5023,15023,SDO-X Alchemist,Silly-Go-Round,preview+dance+icon,1,1,1
sdom5024,15024,SDO-X Alchemist,Heartbreaker,preview+dance+icon,1,1,1
sdom5025,15025,SDO-X Alchemist,Crayon,preview+dance+icon,1,1,1
sdom5026,15026,SDO-X Alchemist,I Got A Boy,preview+dance+icon,1,1,1
sdom5027,15027,SDO-X Alchemist,Pandora,preview+dance+icon,1,1,1
sdom5028,15028,SDO-X Alchemist,My Dearest,preview+dance+icon,1,1,1
sdom5029,15029,SDO-X Alchemist,Tonight,preview+dance+icon,1,1,1
sdom5030,15030,SDO-X Alchemist,Guren no Yumiya,preview+dance+icon,1,1,1
sdom5033,15033,SDO-X Alchemist,Gentleman,preview+dance+icon,1,1,1
sdom5035,15035,SDO-X Alchemist,Shinsekai,preview+dance+icon,1,1,1
sdom5040,15040,SDO-X Alchemist,Pure Ruby,preview+dance+icon,1,1,1
sdom5041,15041,SDO-X Alchemist,ViViD,dance+icon,0,1,1
sdom5042,15042,SDO-X Alchemist,Ryoushi No Umi No Rintovurumu,preview+dance+icon,1,1,1
sdom5044,15044,SDO-X Alchemist,Jiyuu no Tsubasa,preview+dance+icon,1,1,1
sdom5045,15045,SDO-X Alchemist,Great Escape,preview+dance+icon,1,1,1
sdom5046,15046,SDO-X Alchemist,Turii,dance+icon,0,1,1
sdom5047,15047,SDO-X Alchemist,Ignite,preview+dance+icon,1,1,1
sdom5048,15048,SDO-X Alchemist,Elpis,dance+icon,0,1,1
sdom5051,15051,SDO-X Alchemist,Akasagarbha,dance+icon,0,1,1
sdom5053,15053,SDO-X Alchemist,THE HERO !!,dance+icon,0,1,1
sdom5060,15060,SDO-X Alchemist,Almagest,dance+icon,0,1,1
sdom5062,15062,SDO-X Alchemist,Clattanoia,dance+icon,0,1,1
sdom5064,15064,SDO-X Alchemist,This Game,dance+icon,0,1,1
sdom5065,15065,SDO-X Alchemist,Axion,dance+icon,0,1,1
sdom5066,15066,SDO-X Alchemist,Rising Hope,dance+icon,0,1,1
sdom5067,15067,SDO-X Alchemist,Saika,dance+icon,0,1,1
sdom5068,15068,SDO-X Alchemist,Butter-Fly,preview+dance+icon,1,1,1
sdom5069,15069,SDO-X Alchemist,Dynasty,dance+icon,0,1,1
sdom5070,15070,SDO-X Alchemist,Sorceress Elise,dance+icon,0,1,1
sdom5071,15071,SDO-X Alchemist,Raison D'etre,dance+icon,0,1,1
sdom5072,15072,SDO-X Alchemist,Odin,dance+icon,0,1,1
sdom5073,15073,SDO-X Alchemist,Holy Knight,dance+icon,0,1,1
sdom5074,15074,SDO-X Alchemist,Catch Me If You Can,dance+icon,0,1,1
sdom5079,15079,SDO-X Alchemist,Beautiful,dance+icon,0,1,1
sdom5080,15080,SDO-X Alchemist,Imprinting,dance+icon,0,1,1
sdom5081,15081,SDO-X Alchemist,Garasu no Hitomi,dance+icon,0,1,1
sdom5082,15082,SDO-X Alchemist,Persephone,dance+icon,0,1,1
sdom5083,15083,SDO-X Alchemist,TT,dance+icon,0,1,1
sdom5084,15084,SDO-X Alchemist,ANiMA,dance+icon,0,1,1
sdom5085,15085,SDO-X Alchemist,Identic Conflict,dance+icon,0,1,1
sdom2721,12721,閉撰敃氪,Bbibbi,icon,0,0,1
sdom2722,12722,閉撰敃氪,FEEL IT,icon,0,0,1
sdom2723,12723,閉撰敃氪,Shape of your heart,icon,0,0,1
sdom2724,12724,閉撰敃氪,約會對白,icon,0,0,1
sdom2725,12725,閉撰敃氪,永遠フレンズ,icon,0,0,1
sdom2726,12726,閉撰敃氪,禁断のレジスタンス,icon,0,0,1
sdom2727,12727,閉撰敃氪,Sweet Talk,icon,0,0,1
sdom2728,12728,閉撰敃氪,Blue,icon,0,0,1
sdom2729,12729,閉撰敃氪,BAD MAMA JAMA,icon,0,0,1
sdom2730,12730,閉撰敃氪,那,icon,0,0,1
sdom2731,12731,閉撰敃氪,Lie,icon,0,0,1
sdom2732,12732,閉撰敃氪,Reset,icon,0,0,1
sdom2733,12733,閉撰敃氪,Run & Run,icon,0,0,1
sdom2734,12734,閉撰敃氪,She`s Bad,icon,0,0,1
sdom2735,12735,閉撰敃氪,Shalala Ring,icon,0,0,1
sdom2736,12736,閉撰敃氪,Mi Amor,icon,0,0,1
sdom2784,12784,閉撰敃氪,Baboy,icon,0,0,1
