fileId,ok,note
10414,1,ok(exper)
10415,1,ok(exper)
10439,1,ok(exper)
10446,1,ok(exper)
10574,1,ok(main)
10575,1,ok(main)
10576,1,ok(main)
10577,1,ok(main)
10578,1,ok(main)
10579,1,ok(main)
10580,1,ok(main)
10581,1,ok(main)
10582,1,ok(main)
10583,1,ok(main)
10584,1,ok(main)
10585,1,ok(main)
10586,1,ok(main)
10587,1,ok(main)
10588,1,ok(main)
10589,1,ok(main)
10590,1,ok(main)
10591,1,ok(main)
10592,1,ok(main)
10593,1,ok(main)
10594,1,ok(main)
10595,1,ok(main)
10596,1,ok(main)
10985,1,ok(exper)
11111,1,ok(main)
11112,0,no-codebook-donor(bestSuffix=0)
11113,0,no-codebook-donor(bestSuffix=0)
11114,1,ok(main)
11115,1,ok(main)
11170,1,ok(exper)
11171,1,ok(exper)
11172,1,ok(exper)
11174,1,ok(exper)
11175,1,ok(exper)
11176,1,ok(exper)
11177,1,ok(exper)
11178,1,ok(exper)
11179,1,ok(exper)
11180,1,ok(exper)
11184,1,ok(exper)
11185,1,ok(exper)
11186,1,ok(exper)
11187,1,ok(exper)
11189,1,ok(exper)
11190,1,ok(exper)
11192,1,ok(exper)
11193,1,ok(exper)
11195,1,ok(exper)
11196,1,ok(exper)
11198,1,ok(exper)
11227,1,ok(exper)
11281,1,ok(exper)
11282,1,ok(exper)
11284,1,ok(exper)
11286,1,ok(exper)
11287,1,ok(exper)
11288,1,ok(exper)
11289,1,ok(exper)
11290,1,ok(exper)
11291,1,ok(exper)
11292,1,ok(exper)
11294,1,ok(exper)
11295,1,ok(exper)
11297,1,ok(exper)
11300,1,ok(exper)
11301,1,ok(exper)
11302,1,ok(exper)
11303,1,ok(exper)
11304,1,ok(exper)
11307,1,ok(exper)
11308,1,ok(exper)
11310,1,ok(exper)
11346,1,ok(exper)
11347,1,ok(exper)
11348,1,ok(exper)
11349,1,ok(exper)
11351,1,ok(exper)
11356,1,ok(exper)
11359,1,ok(exper)
11360,1,ok(exper)
11362,1,ok(exper)
11364,1,ok(exper)
11365,1,ok(exper)
11409,1,ok(exper)
11411,1,ok(exper)
11412,1,ok(exper)
11413,1,ok(exper)
11414,1,ok(exper)
11416,1,ok(exper)
11418,1,ok(exper)
11419,1,ok(exper)
11420,1,ok(exper)
11421,1,ok(exper)
11423,1,ok(exper)
11424,1,ok(exper)
11426,1,ok(exper)
11429,1,ok(exper)
11432,1,ok(exper)
11434,1,ok(exper)
11436,1,ok(exper)
11437,1,ok(exper)
11439,1,ok(exper)
11440,1,ok(exper)
11533,1,ok(exper)
11550,1,ok(exper)
11556,1,ok(exper)
11558,1,ok(exper)
11559,1,ok(exper)
11569,1,ok(exper)
11570,1,ok(exper)
11571,1,ok(exper)
11576,1,ok(exper)
11577,1,ok(exper)
11578,1,ok(exper)
11580,1,ok(exper)
11582,1,ok(exper)
11616,1,ok(exper)
11619,1,ok(exper)
11620,1,ok(exper)
11621,1,ok(exper)
11622,1,ok(exper)
11628,1,ok(exper)
11629,1,ok(exper)
11631,1,ok(exper)
11687,1,ok(exper)
11690,1,ok(exper)
11691,1,ok(exper)
11692,1,ok(exper)
11694,1,ok(exper)
11696,1,ok(exper)
11697,1,ok(exper)
11701,1,ok(exper)
11707,1,ok(exper)
11712,1,ok(exper)
11713,1,ok(exper)
11714,1,ok(exper)
11734,1,ok(exper)
11735,1,ok(exper)
11744,1,ok(exper)
11745,1,ok(exper)
11747,1,ok(exper)
11748,1,ok(exper)
11749,1,ok(exper)
11750,1,ok(exper)
11751,1,ok(exper)
11752,1,ok(exper)
11753,1,ok(exper)
11754,1,ok(exper)
11755,1,ok(exper)
11756,1,ok(exper)
11771,1,ok(exper)
11774,1,ok(exper)
11776,1,ok(exper)
11777,1,ok(exper)
11778,1,ok(exper)
11780,1,ok(exper)
11781,1,ok(exper)
11782,1,ok(exper)
11785,1,ok(exper)
11786,1,ok(exper)
11787,1,ok(exper)
11788,1,ok(exper)
11789,1,ok(exper)
11790,1,ok(exper)
11791,1,ok(exper)
11796,1,ok(exper)
11798,1,ok(exper)
11850,1,ok(exper)
11868,1,ok(exper)
11869,1,ok(exper)
11870,1,ok(exper)
11872,1,ok(exper)
11874,1,ok(exper)
11875,1,ok(exper)
11876,1,ok(exper)
11963,1,ok(exper)
11964,1,ok(exper)
11966,1,ok(exper)
11967,1,ok(exper)
11969,1,ok(exper)
11970,1,ok(exper)
11972,1,ok(exper)
11973,1,ok(exper)
15001,0,no-codebook-donor(bestSuffix=0)
15002,0,no-codebook-donor(bestSuffix=0)
15003,0,no-codebook-donor(bestSuffix=0)
15004,0,no-codebook-donor(bestSuffix=0)
15005,0,no-codebook-donor(bestSuffix=0)
15006,0,no-codebook-donor(bestSuffix=0)
15007,0,no-codebook-donor(bestSuffix=0)
15008,0,no-codebook-donor(bestSuffix=0)
15009,0,no-codebook-donor(bestSuffix=0)
15010,0,no-codebook-donor(bestSuffix=0)
15011,0,no-codebook-donor(bestSuffix=0)
15012,1,ok(exper)
15013,0,no-codebook-donor(bestSuffix=0)
15014,0,no-codebook-donor(bestSuffix=0)
15015,0,no-codebook-donor(bestSuffix=0)
15016,0,no-codebook-donor(bestSuffix=195)
15017,0,no-codebook-donor(bestSuffix=195)
15018,0,no-codebook-donor(bestSuffix=195)
15019,0,no-codebook-donor(bestSuffix=195)
15020,0,no-codebook-donor(bestSuffix=195)
15021,0,no-codebook-donor(bestSuffix=195)
15022,0,no-codebook-donor(bestSuffix=195)
15023,0,no-codebook-donor(bestSuffix=195)
15024,0,no-codebook-donor(bestSuffix=195)
15025,0,no-codebook-donor(bestSuffix=0)
15026,0,no-codebook-donor(bestSuffix=0)
15027,0,no-codebook-donor(bestSuffix=0)
15028,0,no-codebook-donor(bestSuffix=195)
15029,0,no-codebook-donor(bestSuffix=195)
15030,0,no-codebook-donor(bestSuffix=195)
15033,0,no-codebook-donor(bestSuffix=195)
15035,0,no-codebook-donor(bestSuffix=195)
15040,0,no-codebook-donor(bestSuffix=195)
15041,1,ok(exper)
15042,0,no-codebook-donor(bestSuffix=195)
15044,0,no-codebook-donor(bestSuffix=195)
15045,0,no-codebook-donor(bestSuffix=195)
15046,1,ok(exper)
15047,0,no-codebook-donor(bestSuffix=125)
15048,1,ok(exper)
15051,1,ok(exper)
15053,1,ok(exper)
15060,1,ok(exper)
15062,1,ok(exper)
15064,1,ok(exper)
15065,1,ok(exper)
15066,1,ok(exper)
15067,1,ok(exper)
15068,0,no-codebook-donor(bestSuffix=0)
15069,1,ok(exper)
15070,1,ok(exper)
15071,1,ok(exper)
15072,1,ok(exper)
15073,1,ok(exper)
15074,1,ok(exper)
15079,1,ok(exper)
15080,1,ok(exper)
15081,1,ok(exper)
15082,1,ok(exper)
15083,1,ok(exper)
15084,1,ok(exper)
15085,1,ok(exper)
