gn,fileId,title,artist
sdom2838,12838,LOSER,BIGBANG
sdom2837,12837,Heart Attack,AOA
sdom2836,12836,Doar Cu Tine,Activ
sdom2835,12835,Levels,Nick Jonas
sdom2834,12834,Burn Slow,Wiz Khalifa
sdom2833,12833,Freak,Jay Sean
sdom2832,12832,Go Big Or Go Home,American Authors
sdom2831,12831,Girl A,Alexandros
sdom2830,12830,Lion Heart,少女時代
sdom2829,12829,I Wanna Get Better,Bleachers、Tinashe
sdom2828,12828,Back Together,Nicki Minaj、Robin Thicke
sdom2827,12827,PUPPY(Korean Ver.),FTISLAND
sdom2826,12826,Without You,Beast
sdom2825,12825,我的天,權志龍、太陽、黃光熙
sdom2824,12824,愛を叫べ,嵐
sdom2823,12823,Hand in Hand,初音未來、livetune
sdom2822,12822,看透,蔡妍、許仁昌
sdom2821,12821,SummerThing!,Pitbull、Afrojack、Mike Taylor
sdom2820,12820,Gimme Gimme Luv,板野友美
sdom2819,12819,女神幻想曲,Miss Like
sdom2818,12818,3,Britney Spears
sdom2817,12817,Comsic Ride,Befour
sdom2816,12816,無所不在,吳莫愁
sdom2815,12815,Hourglasss,Disclosure、LION BABE
sdom2814,12814,Should've Been Us,Tori Kelly、Jeremih
sdom2813,12813,壁咚,O2o Goddess
sdom2812,12812,戀愛多一點,花澤香菜
sdom2810,12810,I Wish I Was,Zedd、Flo Cole
sdom2809,12809,Million Tears,Groove Coverage
sdom2808,12808,Tom's Diner,Suzanne Vega
sdom2807,12807,I'm In Love With A Monster,Fifth Harmony
sdom2806,12806,Lights,Hurts
sdom2805,12805,Stayin Out All Night,Wiz Khalifa、Fall Out Boy
sdom2804,12804,On My Own,Ashes Remain
sdom2803,12803,Shine,Years & Years
sdom2802,12802,Amaranth,Nightwish
sdom2801,12801,Strip It Down,Luke Bryan
sdom2800,12800,CAN'T WAIT TO LOVE YOU,Beast
sdom2799,12799,I Am,Leona Lewis
sdom2798,12798,Somebody,Natalie La Rose
sdom2797,12797,Bitch Better Have My Money,Karmin
sdom2796,12796,Touch My Body,Mariah Carey
sdom2795,12795,Ain't Got Far To Go,Jess Glynne
sdom2794,12794,電動王,麻吉弟弟
sdom2793,12793,Turn It Up,Grum
sdom2792,12792,聽,方大同
sdom2791,12791,Beautiful Now,Zedd、Jon Bellion
sdom2790,12790,我管你,華晨宇
sdom2789,12789,Beautiful to Me,Olly Murs
sdom2788,12788,Tiger,R3hab
sdom2787,12787,Here It Is,Flo Rida
sdom2786,12786,DJ Got Us Fallin' In Love,Usher
sdom2785,12785,Nobody Knows,Darin
sdom2784,12784,Baboy,Sebastian Castro
sdom2783,12783,Another You,Armin van Buuren、Mr. Probz
sdom2782,12782,子時,孫子涵
sdom2781,12781,Borders,Ramzoid
sdom2780,12780,Believe,機動戰士高達
sdom2779,12779,Verge,Owl City&Aloe Blacc
sdom2778,12778,Black hole,U-KISS
sdom2777,12777,This,Frankmusik
sdom2776,12776,Doom Doom,MC夢
sdom2775,12775,R.A.D.I.U.S,Camellia
sdom2774,12774,Pepe,CLC
sdom2773,12773,Blue Skies,Lenka
sdom2772,12772,Crazy,4minute
sdom2771,12771,Tonight Again,Guy Sebastian
sdom2770,12770,Understatement,Kristina
sdom2769,12769,Five More Hours,Deorro
sdom2768,12768,Immortals,Fall Out Boy
sdom2767,12767,Pray to God,Calvin Harris
sdom2766,12766,Sugar,Maroon 5
sdom2765,12765,Back To Earth,Steve Aoki
sdom2764,12764,10分鐘前,Boyfriend
sdom2763,12763,Take My Hand,GOT7
sdom2762,12762,星光月光,secret
sdom2761,12761,大切な宝物,ちょうちょ
sdom2760,12760,誰も知らない,嵐
sdom2759,12759,TWINKLE TWINKLE,Secret
sdom2758,12758,HOT SUN,金賢重
sdom2757,12757,チョコの奴隶,Ske48
sdom2756,12756,コイノシルシ,悠木碧
sdom2755,12755,愛情如此簡單,namolla family
sdom2754,12754,Someday,IU
sdom2753,12753,Don't flirt,2WINNER
sdom2752,12752,Why So Serious,SHINee
sdom2751,12751,Loving U,SISTAR
sdom2750,12750,Mayday,Oran G
sdom2749,12749,Rainbow Rose,姜智英
sdom2748,12748,Crystal,Apink
sdom2747,12747,心跳,Infinite F
sdom2746,12746,鞋子特大號,周杰倫
sdom2745,12745,愛的鼓勵,林俊杰
sdom2744,12744,Marry Me,金承熙
sdom2743,12743,Lamb,GARNiDELiA
sdom2742,12742,EYES,TaeTiSeo
sdom2741,12741,Action,NU’EST
sdom2740,12740,Beauty And A Beat,Justin Bieber、Nicki Minaj
sdom2739,12739,Hot Summer,F(x)
sdom2738,12738,Ma Boy 2,Electroboyz
sdom2737,12737,After School,Diva
sdom2736,12736,Mi Amor,赤西仁
sdom2735,12735,Shalala Ring,NU'EST
sdom2734,12734,She`s Bad,Natthew
sdom2733,12733,Run & Run,N.SONIC
sdom2732,12732,Reset,N.SONIC
sdom2731,12731,Lie,N.SONIC
sdom2730,12730,那,Mi2
sdom2729,12729,BAD MAMA JAMA,BIGFLO
sdom2728,12728,Blue,Big Bang
sdom2727,12727,Sweet Talk,Samantha Jade
sdom2726,12726,禁断のレジスタンス,水樹奈々
sdom2725,12725,永遠フレンズ,新田恵海
sdom2724,12724,約會對白,孫子涵
sdom2723,12723,Shape of your heart,U-KISS
sdom2722,12722,FEEL IT,U-KISS
sdom2721,12721,Bbibbi,Queen B'Z
sdom2720,12720,Never Know,西野加奈
sdom2719,12719,Piesa mea preferata,Vescan
sdom2718,12718,大大的擁抱,A-Lin
sdom2717,12717,未來先見,吴克羣
sdom2716,12716,Fireflies,Owl City
sdom2715,12715,Mirrors,Natalia Kills
sdom2714,12714,Yasisi,N.S允智
sdom2713,12713,美妙的寂寞,Eva
sdom2712,12712,Pretty,breeze
sdom2711,12711,MASAYUME CHASING,BoA
sdom2710,12710,Play 我呸,蔡依林
sdom2709,12709,Wild,NINE MUSES
sdom2708,12708,We Run the Night,Havana Brown
sdom2707,12707,Timing,Girl's Day
sdom2706,12706,Beautiful Day,G.NA
sdom2705,12705,Til It's Gone,Britney Spears
sdom2704,12704,TicToc,Belanova
sdom2703,12703,17,Avril Lavigne
sdom2702,12702,Never Close Our Eyes,Adam Lambert
sdom2701,12701,With You,周筆暢
sdom2700,12700,飛簷走壁,徐海星
sdom2699,12699,reunion,狂熱節拍
sdom2698,12698,江南街,橙子焦糖
sdom2697,12697,Good Boy,白智英;龍俊亨（Beast）
sdom2696,12696,Tonight,Union J
sdom2695,12695,Lucky Wannabeee!,T-ara
sdom2694,12694,U Beauty,100%
sdom2693,12693,Trouble,Neon Jungle
sdom2692,12692,Mamma Mia!,KARA
sdom2691,12691,black bullet,fripSide
sdom2690,12690,Sign,Brown Eyed Girls
sdom2689,12689,Pump It,Bond
sdom2688,12688,YOU ARE MY GIRL,B1A4
sdom2687,12687,Winter Games,2PM
sdom2686,12686,英雄野望,吴克羣
sdom2685,12685,YUME,吉田兄弟
sdom2684,12684,The Freak Show,Various
sdom2683,12683,Glow In the Dark,The Wanted
sdom2682,12682,青春修煉手冊,TFBOYS
sdom2681,12681,OK GO!,SISTAR
sdom2680,12680,But I Love U,SISTAR
sdom2679,12679,春よ、来い,sama
sdom2678,12678,OMG,Ruslan Nigmatullin
sdom2677,12677,戰神,MP魔幻力量
sdom2676,12676,Maps,Maroon 5
sdom2675,12675,Bonfire,Knife Party
sdom2674,12674,Light Em Up,Fall Out Boy
sdom2673,12673,Hungover You,bella
sdom2672,12672,Nightmare,Artists
sdom2671,12671,王者之聲,潘瑋柏
sdom2670,12670,婚禮進行曲,門德爾松
sdom2669,12669,ロミオとシンデレラ,花たん
sdom2668,12668,誰Control,韓庚
sdom2667,12667,Shake Your Body,郭富城&羅志祥
sdom2666,12666,英仙座,島谷瞳
sdom2665,12665,XOXO,濱崎步
sdom2664,12664,Action,NINE MUSES
sdom2663,12663,Dame,Natalia
sdom2662,12662,Crystallize,Kylie
sdom2661,12661,Your Captain Tonight,Elena
sdom2660,12660,Hey Mr,Crayon Pop
sdom2659,12659,Rainbow,Blake Reary
sdom2658,12658,Nowhere Near,Blake Reary
sdom2657,12657,他的貓,徐良
sdom2656,12656,愛情呼救999,弦子
sdom2655,12655,打呼,潘瑋柏
sdom2654,12654,愛不愛我,大嘴巴
sdom2653,12653,緣分,Mi2
sdom2652,12652,小蘋果 (電影《老男孩猛龍過江》宣,筷子兄弟
sdom2651,12651,波爺,曾志偉
sdom2650,12650,快到我碗裡來,王麟
sdom2649,12649,アパッショナート,水樹奈奈
sdom2648,12648,蝶,V6樂隊
sdom2647,12647,Dragon Rider,Two Steps
sdom2646,12646,La La La (Brazil 2014),Shakira
sdom2645,12645,Can't Remember To Forget You,Shakira
sdom2644,12644,Eifersucht,Rammstein
sdom2643,12643,We Are Giants,Lindsey
sdom2642,12642,I Love My People,Eddie Wata
sdom2641,12641,Action,BoA
sdom2640,12640,Here With You,Asher Book
sdom2639,12639,Eiforya,Armin
sdom2638,12638,Problem,Ariana Grande
sdom2637,12637,離開他,Ailee
sdom2636,12636,夜空中最亮的星,逃跑計劃
sdom2635,12635,想神馬有神馬 (feat. 吳莫愁),李代沫;吳莫愁
sdom2634,12634,MIRACLE,MYNAME
sdom2633,12633,Sha La La,Maria Sagana
sdom2632,12632,My Destiny,Lyn
sdom2631,12631,像星星一樣,K.Will
sdom2630,12630,Something,Girl's Day
sdom2629,12629,Kids Again(Radio Edit),Example
sdom2628,12628,短裙_Miniskirt,AOA（韓國）
sdom2627,12627,marry the night,adam lambert
sdom2626,12626,Bailando,Enrique Iglesias
sdom2625,12625,今天做什麼,4minute
sdom2624,12624,入陣曲,五月天
sdom2623,12623,Bungee Jump,U-KISS
sdom2622,12622,再見,孝琳
sdom2621,12621,Meet Her At Loveparade,DJ Aligator
sdom2620,12620,Butterflies,Zendaya
sdom2619,12619,Crush,2NE1
sdom2618,12618,Canon DJ,Beethoven
sdom2617,12617,1004,B.A.P
sdom2616,12616,Victory Korea,Super Junior
sdom2615,12615,La Song,Rain
sdom2614,12614,The Creator,妖精帝國
sdom2613,12613,Bad Apple!!(Remix),nomico
sdom2612,12612,Music Makes One,具俊燁
sdom2611,12611,成為魔女的理由,N.S允智
sdom2610,12610,舞魂再現,羅志祥
sdom2609,12609,The Dirty of Loudness,狂熱節拍
sdom2608,12608,後遺症,ZE_A
sdom2607,12607,Real Love,U-KISS
sdom2606,12606,ALONE,U-KISS
sdom2605,12605,In,Simple Plan
sdom2604,12604,To Me,Rainbow
sdom2603,12603,Replay,Raffaella Carra
sdom2602,12602,LADIES,ICONIQ
sdom2601,12601,Change,Churchill
sdom2600,12600,如果天還沒黑,星弟
sdom2599,12599,Way,Kara
sdom2598,12598,Let It Go(冰雪奇緣),Idina Menzel
sdom2597,12597,Love Again,3rd Coast
sdom2596,12596,肩上蝶,金志文、湯曉菲
sdom2595,12595,我們相愛可以嗎,孫佳仁、趙權
sdom2594,12594,LOVE DAY,梁耀燮、鄭恩地
sdom2593,12593,All For You,徐仁國、鄭恩地
sdom2592,12592,感覺特別,胡彥斌、郭凌霞
sdom2591,12591,片想い。~リナリア~,Sonar Pocket
sdom2590,12590,Tell Me Love,HISTORY
sdom2589,12589,Blind Love,CNBLUE
sdom2588,12588,Here We Go,Hard Rock Sofa
sdom2587,12587,Empire State Glory,Dirty Androids
sdom2586,12586,Super Style,Spexial
sdom2585,12585,第六十一分鐘,羅志祥
sdom2584,12584,Carry You(Remix),Union J
sdom2583,12583,愛投羅網,羅志祥
sdom2582,12582,女力,溫嵐
sdom2581,12581,"Have, Don't Have",Dal★shabet
sdom2580,12580,Shake It Up,KARA
sdom2579,12579,Breath,金俊秀
sdom2578,12578,Live It Up,Owl City
sdom2577,12577,貝多芬的悲傷,蕭風
sdom2576,12576,祝你聖誕快樂,玩家原創
sdom2575,12575,甩蔥DJ版,初音未來
sdom2574,12574,魅惑鋼琴,R.M.X
sdom2573,12573,Lunatic Sky,m2u
sdom2572,12572,Luv Letter,Dj Okawari
sdom2571,12571,仿如夢境,Deen
sdom2570,12570,Rainbow Tylenol,Kitsune^2
sdom2569,12569,憂傷的聖誕節,BeautifulDay
sdom2568,12568,海洋之心,Yamajet
sdom2567,12567,Joker,D.J.Nero
sdom2566,12566,Mellow Melody,CEUI
sdom2565,12565,白の魔法の光,圮鬲堝蚊
sdom2564,12564,RED ZONE,Tatsh & Naoki
sdom2563,12563,幻想境界,Red Pulse
sdom2562,12562,she is my sin,nightwish
sdom2561,12561,Trouble is friend,Lenka
sdom2560,12560,爆發！櫻桃紅唇之吻！,KOTOKO
sdom2559,12559,向日葵の記憶,Innocent Key
sdom2558,12558,赤訊號,Kevin.o2S
sdom2557,12557,Broken,dj TAKA Feat. AiMEE
sdom2556,12556,Uranus,Tatsh SN2 Style
sdom2555,12555,克羅埃西亞狂想曲,maksim
sdom2554,12554,Flower Dance,Dj Okawari
sdom2553,12553,Blue Bird,ikimono gakari
sdom2552,12552,深海少女,初音未來
sdom2551,12551,Gentleman,Psy
sdom2550,12550,Baby,Justin Bieber
sdom2549,12549,穿越時空的愛戀,Brandy
sdom2548,12548,Bird Sprite(D.K.R.mix),ツナマヨちゃん
sdom2547,12547,黑洞8,PLight
sdom2546,12546,Kinato Ymir,nato
sdom2545,12545,Child In Paradise,maksim
sdom2544,12544,La grand bleu,DJ-EZ2DJ
sdom2543,12543,地震,KAZE.o2SE
sdom2542,12542,EOS,ginkiha
sdom2541,12541,貴族5,SHK
sdom2540,12540,S.S-惡靈暗湧-,Kinato
sdom2539,12539,Emerald_sword,Alex Staropoli
sdom2538,12538,Breaking The Habit,Linkin Park
sdom2537,12537,Close Your Eyes,澤野弘之
sdom2536,12536,自己呀,樸株會
sdom2535,12535,KISSY KISSY,Smile
sdom2534,12534,Try,P!nk
sdom2533,12533,That's Miko Reimu,IOSYS
sdom2532,12532,Necro Fantasy,東方
sdom2531,12531,Love,Wolf.R
sdom2530,12530,V.C-金星狂歡-,玩家原創
sdom2529,12529,貴族4,SHK
sdom2528,12528,放開心靈,Red Pulse
sdom2527,12527,Crossing Those Hills,FF9
sdom2526,12526,Euphorium,DM Ashura
sdom2525,12525,Rose-1,cornandbeans
sdom2524,12524,刀鋒偏冷,李宇春
sdom2523,12523,冷たい部屋、一人,小松未可子
sdom2522,12522,Pure in Asia,東方
sdom2521,12521,Crystal World,Wa. remixed celas
sdom2520,12520,超級奇蹟,玩家原創
sdom2519,12519,卡農(Techno Remix),Steven Lin
sdom2518,12518,Dr Feel Good,RaNia
sdom2517,12517,Harajuku Girls,Gwen Stefani
sdom2516,12516,Phase 2,DM Ashura
sdom2515,12515,憂傷旋律(Torrent mix),B0UNC3
sdom2514,12514,I'M NOT OK,文熙俊
sdom2513,12513,Love Song,神話
sdom2512,12512,Promise You,Super Junior K.R.Y.
sdom2511,12511,任性情人,王心凌
sdom2510,12510,MINIMANIMO,Tiny-G
sdom2509,12509,Beep Beep,少女時代
sdom2508,12508,他算什麼,MYNAME
sdom2507,12507,I'm Yesterday,Jw、namolla Family
sdom2506,12506,Electric Shock,F X
sdom2505,12505,Bingo,Turtles
sdom2504,12504,那樣的你,BoA
sdom2503,12503,Without You,Blue
sdom2502,12502,OH BABY,Big Bang
sdom2501,12501,想怎樣,Big Bang
sdom2499,12499,謊言,Big Bang
sdom2498,12498,Last Farewell,Big Bang
sdom2497,12497,5 My Baby,Beast、Apink
sdom2496,12496,雨聲,B.A.P
sdom2495,12495,You And Me,Andy
sdom2494,12494,Missing You,權志龍
sdom2493,12493,即刻出發,吉克雋逸
sdom2492,12492,LIPSTICK,橙子焦糖
sdom2491,12491,feat. 阿悄,本兮 - 無限速
sdom2490,12490,要瘋了,Teen Top
sdom2489,12489,If You Love Me (Feat.樸宰範),N.S允智
sdom2488,12488,Popular Song (feat. Ariana Grand,Mika
sdom2487,12487,Don't Forget Me,Girl's Day
sdom2486,12486,Playing With Fire,Darin
sdom2485,12485,发飆(终极王者版),Spexial
sdom2484,12484,Beep Beep,少女時代
sdom2483,12483,我受罰,盧志勳
sdom2482,12482,1'2'3'4,李夏怡
sdom2481,12481,Ice Cream,金泫雅
sdom2480,12480,冷,Epik High
sdom2479,12479,queen,孫丹菲
sdom2478,12478,Maker,盧志勳
sdom2477,12477,HIGH歌,黃齡
sdom2476,12476,Where Is My Love,STi
sdom2475,12475,Luv Me,D-Unit
sdom2474,12474,意気地なしマスカレード,指原莉乃
sdom2473,12473,福爾摩斯,蕭敬騰
sdom2471,12471,FLOWER POWER,少女時代
sdom2470,12470,Climactic Cry,少女病
sdom2469,12469,重口味,陳奕迅
sdom2468,12468,Song 4 u,濱崎步
sdom2467,12467,花又開好了,S.H.E
sdom2466,12466,走過,B1A4
sdom2465,12465,LET'S GO OUT,AMOYAMO
sdom2464,12464,贖罪,Euphoreon
sdom2463,12463,空冥之嘆,DM ashura
sdom2462,12462,Executioner,SeasonⅠ
sdom2461,12461,Oriental Wind,SeasonⅡ
sdom2460,12460,blending rotation,SeasonⅢ
sdom2459,12459,Scarlet Blow,SeasonⅣ
sdom2458,12458,Bloody Brand,SeasonⅤ
sdom2457,12457,Reflection,SeasonⅥ
sdom2456,12456,Air Trancer,SeasonⅦ
sdom2455,12455,Over the sky,SeasonⅧ
sdom2454,12454,Where...,SeasonⅨ
sdom2453,12453,Jul.Dream,SeasonⅪ
sdom2452,12452,イノセントステイン,SeasonⅩ
sdom2451,12451,Liberating prayer !!,SeasonⅫ
sdom2450,12450,Extra 3rd is Crimson Dead Techni,SeasonXXXXX
sdom2449,12449,Extra 2nd is エルの天秤,SeasonXXXXX
sdom2448,12448,Extra 1st is ミユグ,SeasonXXX
sdom2447,12447,Crying in the Dark,SeasonFinal
sdom2446,12446,惡靈暗湧,S.S
sdom2445,12445,潛靈暗湧,I.S
sdom2444,12444,小叮噹,孫佳仁
sdom2443,12443,君のCW,チームサプライズ
sdom2442,12442,crossing field,Lisa（リサ）
sdom2441,12441,Look At Me,Jewelry
sdom2440,12440,V SPACE,魏晨
sdom2439,12439,我們在改變,魏晨
sdom2438,12438,你的名作,輝星
sdom2437,12437,Catch Me,東方神起
sdom2436,12436,沒有男人也能好好的,miss A
sdom2435,12435,愛情闖進門,BY2
sdom2434,12434,Spy,Super Junior
sdom2433,12433,ANYMORE,徐仁英
sdom2432,12432,Tarantallegra,金俊秀
sdom2431,12431,One More Night,Maroon 5
sdom2430,12430,fortissimo -the ultimate crisis,Fripside
sdom2429,12429,UNCOMMITTED,金俊秀
sdom2428,12428,江南style,Psy
sdom2427,12427,Spending all my time,Perfume
sdom2426,12426,Get Up,Nine Muses
sdom2425,12425,Butterfly,Jessica (少女時代)
sdom2424,12424,BRIGHT STREAM,水樹奈奈
sdom2423,12423,BLINK,東方神起
sdom2422,12422,大人ジェリービーンズ,渡邊麻友
sdom2421,12421,ANDROID,東方神起
sdom2420,12420,PONPONPON,またはきゃりーぱみゅぱみゅ
sdom2419,12419,Chase the world,May'n
sdom2418,12418,Start It Again,Aziatix
sdom2417,12417,BUBIBU,A pink
sdom2416,12416,Listen To The Rain,w-inds
sdom2415,12415,I Love You,2NE1
sdom2414,12414,"Sexy, Free & Single",Super Junior
sdom2413,12413,釋放自己,潘瑋柏
sdom2412,12412,時空サファイア,水樹奈奈
sdom2411,12411,深愛,水樹奈奈
sdom2410,12410,終わりの世界から,麻枝準
sdom2409,12409,我愛遊戲,T-ara
sdom2408,12408,HOLIDAY,T-ara
sdom2407,12407,DAY BY DAY,T-ara
sdom2406,12406,Lead Me,SISTAR
sdom2405,12405,白い雪のプリンセスは,初音未來
sdom2404,12404,桃花扇,汪蘇瀧
sdom2403,12403,西瓜BABY,Not yet
sdom2402,12402,Boyfriend,Justin Bieber
sdom2401,12401,抱我一次,Girl's Day
sdom2400,12400,Love,f(x)
sdom2399,12399,HISTORY,EXO-K
sdom2398,12398,像最初一樣【I Do I Do OST】,Eden
sdom2397,12397,Love Is Energy,CHICHI
